legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,is_va_provider,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,credential
Alamo Hearing Aid & Audiological Service,Alamo Hearing,San Antonio,Bexar,78229,"7400 Louis Pasteur, Suite 102",(210) 614-3751,https://alamohearing.com,Holly Spiser Foley,58,license_tenure_proxy_family_succession,30,74,2,,False,,72,Owner age 58 +tenure (30 yrs ≥25).,86,Multi-AuD 74yr practice.,70,"strong=1, mod=2, low=0 → score 70.",85,Hearing aid TX baseline — VA-adjacent metro,77,B_forward,L1=72/L2=86/L3=70/L4=85 → 77.,74-yr multi-generational brand equity + referral base; modernize digital ops + add tinnitus/vestibular service lines.,medium,0.5,AuD
Hearing Aid Express,Hearing Aid Express,Bellaire,Harris,77401,5108 Bellaire Blvd (HQ); 10 TX + 2 CO locations,(844) 720-7930,https://hearingaidexpress.com,,68,founded_1991_implies_owner_likely_age_65_plus_if_still_active,35,35,0,,False,,96,Owner age 68 +tenure (35 yrs ≥25).,68,"Solo HID 35yr — sellable, lower multiple.",85,"strong=1, mod=3, low=0 → score 85.",85,Hearing aid TX baseline — VA-adjacent metro,77,B_forward,L1=96/L2=68/L3=85/L4=85 → 77. Owner name not identified — capped at B_forward.,12-location regional footprint scalable; 35-yr mature brand; under-marketed/coasting — paid ads + SEO + online booking adds 20-30% topline.,medium,0.55,HID (BC-HIS staff)
"Hearing Aids, Inc.","Hearing Aids, Inc.",McAllen,Hidalgo,78501,McAllen (HQ); Weslaco; Harlingen,,https://www.hearingaidsinc.net,Jackson 'Jack' Rainwater III,65,family_succession_timing_proxy,47,54,2,,False,,86,Owner age 65 +tenure (47 yrs ≥25).,68,"Solo HID 54yr — sellable, lower multiple.",70,"strong=1, mod=1, low=0 → score 70.",85,Hearing aid TX baseline — RGV Winter Texan market,77,B_forward,L1=86/L2=68/L3=70/L4=85 → 77.,3-location regional footprint scalable; 54-yr multi-generational brand equity + referral base; modernize digital ops + add tinnitus/vestibular service lines.,medium,0.5,HID
Texas State Hearing Aid Device Center,Texas State Hearing Aid Device Center,Abilene,Taylor,79605,598 S Pioneer Dr (Abilene); 100 McCauley St (Sweetwater),(325) 695-1133,https://stopthewhat.com,Gregory Brenner,64,37_yr_tenure_self_report_plus_career_proxy,37,40,2,,False,,86,Owner age 64 +tenure (37 yrs ≥25).,68,"Solo HID 40yr — sellable, lower multiple.",70,"strong=1, mod=1, low=0 → score 70.",77,Hearing aid TX baseline — smaller TX metro,75,B_forward,L1=86/L2=68/L3=70/L4=77 → 75.,multi-location scalable; 40-yr mature brand; modernize digital ops + add tinnitus/vestibular service lines.,medium,0.5,HID
The Center for Healthy Hearing,The Center for Healthy Hearing,Houston,Harris,77005,"5311 Kirby Drive, Suite 204",(713) 750-9993,https://www.thecenterforhealthyhearing.com,"Dr. Monique Jenkins, Au.D., CCC-A",54,MS_then_AuD_pattern_indicates_career_started_1990s_plus_26yr_self_described_experience,26,26,1,,False,,51,Owner age 54 +tenure (26 yrs ≥25).,74,Solo AuD 26yr — sellable.,85,"strong=3, mod=1, low=1 → score 85.",85,Hearing aid TX baseline — VA-adjacent metro,72,B_forward,L1=51/L2=74/L3=85/L4=85 → 72.,26-yr practice; under-marketed/coasting — paid ads + SEO + online booking adds 20-30% topline.,high,0.65,"AuD, CCC-A"
El Paso Hearing Aid & Audiology Center,El Paso Hearing Aid & Audiology Center,El Paso,El Paso,79902,1500 N Mesa St,(915) 532-6935,https://ephearing.com,Drs. Matthew & Kerry Lyon (2nd gen) — Founders Ed & Jeanne Lyon,55,second_gen_succession_timing_proxy,30,71,3,,False,,51,Owner age 55 +tenure (30 yrs ≥25).,86,Multi-AuD 71yr practice.,70,"strong=1, mod=0, low=0 → score 70.",85,Hearing aid TX baseline — VA-adjacent metro,71,B_forward,L1=51/L2=86/L3=70/L4=85 → 71.,multi-location scalable; 71-yr multi-generational brand equity + referral base; modernize digital ops + add tinnitus/vestibular service lines.,medium,0.5,AuD
"Medical Center Hearing Aids, Ltd.",Medical Center Hearing Aids,Houston,Harris,77098,"4101 Greenbriar Street, Suite 320",,https://www.medicalcenterhearingaids.com,"Joan F. Furstenberg, Au.D., CCC-A",62,senior_AuD_with_MA_colleague_pre-AuD_era_2017_award,,,2,,False,,68,Owner age 62.,50,Years unknown.,85,"strong=3, mod=1, low=1 → score 85.",85,Hearing aid TX baseline — VA-adjacent metro,71,B_forward,L1=68/L2=50/L3=85/L4=85 → 71.,under-marketed/coasting — paid ads + SEO + online booking adds 20-30% topline.,high,0.72,"AuD, CCC-A"
Advanced Hearing Center,Advanced Hearing Center,Sugar Land,Fort Bend,77478,1223 Lake Pointe Pkwy,(281) 491-0200,https://www.advancedhearingcentertx.com,"Dr. Terry Davis Snook, Au.D.",56,BS_Baylor_30yr_career_MS_pre_AuD_era_then_AuD_upgrade_indicates_age_55_plus,30,21,2,False,False,,51,Owner age 56 +tenure (30 yrs ≥25).,86,Multi-AuD 21yr practice.,70,"strong=1, mod=0, low=2 → score 70.",83,Hearing aid TX baseline — affluent suburban,70,B_forward,L1=51/L2=86/L3=70/L4=83 → 70.,21-yr practice; modernize digital ops + add tinnitus/vestibular service lines.,high,0.88,AuD
Advanced Hearing & Balance Center of Dallas,Advanced Hearing & Balance Center,Allen,Collin,75002,Locations in Allen and Grapevine,(972) 733-3344,https://www.ahbctexas.com,"Marilyn M. Hinrichs, Au.D.",62,founded_1995_pre_AuD_then_2001_AuD_upgrade_implies_age_60_plus,31,31,2,,False,,72,Owner age 62 +tenure (31 yrs ≥25).,86,Multi-AuD 31yr practice.,22,"strong=0, mod=0, low=1 → score 22.",80,Hearing aid TX baseline,62,B_forward,L1=72/L2=86/L3=22/L4=80 → 62.,multi-location scalable; 31-yr mature brand.,high,0.85,"AuD, ABA-Certified"
"A&A Audiology, P.C.",A&A Audiology,Lubbock,Lubbock,79424,7335 82nd Street Suite 3 (Lubbock); 1900 South Coulter Street (Amarillo),(806) 744-7223,,"Dr. Tonia D. Fleming, Au.D.",50,22_yr_self_report_plus_grad_proxy,22,22,1,,False,,25,Owner age 50.,74,Solo AuD 22yr — sellable.,85,"strong=3, mod=0, low=1 → score 85.",80,Hearing aid TX baseline,59,C_watch,L1=25/L2=74/L3=85/L4=80 → 59. Successor verification not done — capped at C_watch.,multi-location scalable; 22-yr practice; under-marketed/coasting — paid ads + SEO + online booking adds 20-30% topline.,medium,0.5,AuD
