target_id,score_run_id,vertical,naics_code,legal_name,dba_name,address,city,county,state,zip,phone,website,license_number,license_type,license_holder_name,banner_program,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,entity_status,is_distressed,distress_reasons,location_count,pharmacist_count,compounding_capability,layer1_score,layer1_comment,layer2_score,layer2_comment,layer3_score,layer3_comment,layer4_score,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,drop_reason,disqualifier_type,family_successor_locked,scored_at,batch_idx,spine_index
pharm-1-44,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Carvajal Pharmacy,Carvajal Pharmacy,,San Antonio,Bexar,TX,,,https://www.carvajalpharmacy.com/,,,,Independent (RxLocal); + LTC division,"Raymond, Charles, and Mark Carvajal (3 brothers; Raymond Owner per LinkedIn)",78,"founded_1969_proxy + linkedin_raymond_owner (founder cohort, est. 75-82)",57,57,Active,False,[],4,5,yes,100,"Owner ~78 (68+ band, peak succession risk)",100,"Multi-pharmacist/multi-loc Class A, 57yr tenure (4 loc, 5 pharmacist(s)) | +5 compounding",80,4 coast tell(s): 57yr legacy multi-location group; Three-brother ownership (all 70s+); storefront photos aged / legacy branding; 30+ yr tenure under same owner,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 compounding specialty,89,A,"A-tier: Carvajal Pharmacy (San Antonio). Owner Raymond, Charles, and Mark Carvajal (3 brothers; Raymond Owner per LinkedIn) ~78, 57yr operation.","Independent retail pharmacy (57yr) in San Antonio, TX. PBM compression + pharmacy PE consolidation = motivated seller pool. Value-add: replace owner-PIC with PharmD operator, deploy modern PIMS / online refill / vaccine clinic, add Med Sync / MTM, monetize compounding or LTC if existing, roll into multi-store platform. Compounding capability = enterprise multiple lift.",high,0.82,False,,,False,2026-05-16T17:03:57Z,1,44
pharm-1-3,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Piney Point Village Pharmacy,Piney Point Village Pharmacy,,Houston,Harris,TX,,,https://houstoncompoundingpharmacy.com/,,,,Independent (RxLocal),"George Tompkins, RPh",70,"linkedin + 1965-establishment context — owner is currently in charge of legacy store; Tompkins shown as Owner of long-time business (likely BS-RPh, age range 65-75)",,61,unknown — pending Comptroller verification,False,[],1,2,yes - full compounding pharmacy,91.0,"Owner ~70 (68+ band, peak succession risk)",93,"Multi-pharmacist/multi-loc Class A, 61yr tenure (1 loc, 2 pharmacist(s)) | +5 compounding",80,4 coast tell(s): Legacy 1965 storefront — long-tenured owner; Website domain reflects compounding focus but design appears pre-2015; pre-2015 website or none; storefront photos aged / legacy branding,62,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | -3 inner-city urban (Houston) | +5 compounding specialty,84,B,"B-tier: Piney Point Village Pharmacy (Houston). Owner George Tompkins, RPh ~70, 61yr operation.","Independent retail pharmacy (61yr) in Houston, TX. PBM compression + pharmacy PE consolidation = motivated seller pool. Value-add: replace owner-PIC with PharmD operator, deploy modern PIMS / online refill / vaccine clinic, add Med Sync / MTM, monetize compounding or LTC if existing, roll into multi-store platform. Compounding capability = enterprise multiple lift.",medium,0.72,False,,,False,2026-05-16T17:03:57Z,1,3
pharm-1-34,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,South San Medical Building Pharmacy,South San Medical Building Pharmacy,,San Antonio,Bexar,TX,,,,,,,Good Neighbor Pharmacy / Health Mart,"Richard Leal, RPh (Owner/Pharmacist)",66,"founded_1985_BSRPh_proxy (BS-RPh era, founder still operator, est. ~65-70)",41,41,Active,False,[],1,1,unknown,84.0,"Owner ~66 (63-67 band, high succession risk)",85,Solo pharmacist 10+yr Class A (41yr tenure) | +3 banner (GNP/Health Mart),84,5 coast tell(s): Several staff with 20+ year tenure (loyal but aging staff base); No website; pre-2015 website or none; 30+ yr tenure under same owner; single-store solo PIC operation,60,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline),81,B,"B-tier: South San Medical Building Pharmacy (San Antonio). Owner Richard Leal, RPh (Owner/Pharmacist) ~66, 41yr operation.","Independent retail pharmacy (41yr) in San Antonio, TX. PBM compression + pharmacy PE consolidation = motivated seller pool. Value-add: replace owner-PIC with PharmD operator, deploy modern PIMS / online refill / vaccine clinic, add Med Sync / MTM, monetize compounding or LTC if existing, roll into multi-store platform. Banner affiliation (GNP/Health Mart) = professional ops; clean PE roll-up integration.",high,0.75,False,,,False,2026-05-16T17:03:57Z,1,34
pharm-1-10,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Citizens Professional Pharmacy,Citizens Professional Pharmacy,,Houston,Harris,TX,,,http://www.citizenspharmacytx.com/,,,,Independent (RxLocal),Nilkanth K Patel (Owner),65,"40yr_tenure_proxy (BS-RPh era + 40yr operator, est. ~65)",,40,unknown,False,[],1,,unknown,81.0,"Owner ~65 (63-67 band, high succession risk)",85,Solo pharmacist 10+yr Class A (40yr tenure) | +3 specialty (LTC/veterinary),84,5 coast tell(s): Website appears pre-2015 design (HTTP only); No online refills visible; 40-year-tenured owner; pre-2015 website or none; single-store solo PIC operation,57,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | -3 inner-city urban (Houston),79,B,"B-tier: Citizens Professional Pharmacy (Houston). Owner Nilkanth K Patel (Owner) ~65, 40yr operation.","Independent retail pharmacy (40yr) in Houston, TX. PBM compression + pharmacy PE consolidation = motivated seller pool. Value-add: replace owner-PIC with PharmD operator, deploy modern PIMS / online refill / vaccine clinic, add Med Sync / MTM, monetize compounding or LTC if existing, roll into multi-store platform.",medium,0.68,False,,,False,2026-05-16T17:03:57Z,1,10
pharm-2-80,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Glenview Professional Pharmacy,Glenview Professional Pharmacy,7640 Glenview Dr Ste A,Richland Hills,Tarrant,TX,76180,(817) 284-1489,https://www.glenviewrx.com/,,Class A (Community Pharmacy) + Compounding,"Larry Cowan, RPh (Owner-PIC); Mita Mehta (President/Co-owner)",Independent (RxLocal),"Larry Cowan, RPh; Mita Mehta",65,tenure_proxy,,61,unknown,False,[],,8,,81.0,"Owner ~65 (63-67 band, high succession risk)",92,"Multi-pharmacist/multi-loc Class A, 61yr tenure (1 loc, 8 pharmacist(s))",55,2 coast tell(s): no specialty services; single-store solo PIC operation,60,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline),73,B,"B-tier: Glenview Professional Pharmacy (Richland Hills). Owner Larry Cowan, RPh; Mita Mehta ~65, 61yr operation.","Independent retail pharmacy (61yr) in Richland Hills, TX. PBM compression + pharmacy PE consolidation = motivated seller pool. Value-add: replace owner-PIC with PharmD operator, deploy modern PIMS / online refill / vaccine clinic, add Med Sync / MTM, monetize compounding or LTC if existing, roll into multi-store platform.",medium,0.7,False,,,False,2026-05-16T17:03:57Z,2,80
pharm-2-55,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Lamar Plaza Drug Store,Martin's Wellness & Compounding Pharmacy at Lamar Plaza,1509 S Lamar Blvd,Austin,Travis,TX,78704,(512) 442-6777,https://martinswellness.com/lamar-plaza-drug-store,,Class A (Community Pharmacy) + Compounding,"Lynh Warnken, PharmD (PIC); Jim Martin, RPh (group owner)",Good Neighbor Pharmacy,"Jim and Dorinda Martin (group owners); Lynh Warnken, PharmD (PIC/local owner)",67,tenure_proxy,17,60,unknown,False,[],,,,87.0,"Owner ~67 (63-67 band, high succession risk)",85,Solo pharmacist 10+yr Class A (60yr tenure) | +3 banner (GNP/Health Mart),55,2 coast tell(s): no specialty services; single-store solo PIC operation,57,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | -3 inner-city urban (Austin),72,B,"B-tier: Lamar Plaza Drug Store (Austin). Owner Jim and Dorinda Martin (group owners); Lynh Warnken, PharmD (PIC/local owner) ~67, 60yr operation.","Independent retail pharmacy (60yr) in Austin, TX. PBM compression + pharmacy PE consolidation = motivated seller pool. Value-add: replace owner-PIC with PharmD operator, deploy modern PIMS / online refill / vaccine clinic, add Med Sync / MTM, monetize compounding or LTC if existing, roll into multi-store platform. Banner affiliation (GNP/Health Mart) = professional ops; clean PE roll-up integration.",high,0.85,False,,,False,2026-05-16T17:03:57Z,2,55
pharm-1-30,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Dr. Deano's Pharmacy,Dr. Deano's Pharmacy,,Dallas,Dallas,TX,,,,,,,Independent (RxLocal),Dr. Deano (referenced by store brand; no separate confirmation),58,founded_1998_PharmD_proxy (PharmD grad ~1995 + 28 = ~53-58),28,28,unknown,False,[],1,1,unknown,55,"Owner ~58 (58-62 band, moderate succession risk)",75.8,Solo pharmacist 10+yr Class A (28yr tenure),84,5 coast tell(s): No website; Eponymous brand without successor pharmacist visible; pre-2015 website or none; single-store solo PIC operation; RxLocal-only microsite (no independent domain),57,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | -3 inner-city urban (Dallas),69,C,C-tier: Dr. Deano's Pharmacy (Dallas).,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,0.45,False,,,False,2026-05-16T17:03:57Z,1,30
pharm-2-89,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Pharmcare LLC,Pharmcare,1834 Broadway St Ste 106,Pearland,Brazoria,TX,77581,(281) 996-7500,https://www.pharmcarepharmacy.com/,,Class A (Community Pharmacy) + Compounding + Specialty + LTC,"Trang H. Le, RPh (UH 1989, President)",Good Neighbor Pharmacy,"Trang H. Le, RPh",60,license_grad_year,37,20,unknown,False,[],,,,64.2,"Owner ~60 (58-62 band, moderate succession risk)",84.2,Solo pharmacist 10+yr Class A (37yr tenure) | +3 banner (GNP/Health Mart),67,3 coast tell(s): no specialty services; 30+ yr tenure under same owner; single-store solo PIC operation,60,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline),69,C,C-tier: Pharmcare LLC (Pearland).,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",high,0.8,False,,,False,2026-05-16T17:03:57Z,2,89
pharm-3-alameda-thrifty-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Alameda Thrifty Pharmacy,Alameda Thrifty Pharmacy,4900 Alameda Ave Ste A,El Paso,El Paso,TX,79905,(915) 772-5331,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,,60,long_tenure_language_proxy,30,30,unknown_comptroller_session_gated,False,[],,1,,64.2,"Owner ~60 (58-62 band, moderate succession risk)",80.0,Solo pharmacist 10+yr Class A (30yr tenure) | +3 banner (GNP/Health Mart),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; 30+ yr tenure under same owner; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (El Paso),69,C,C-tier: Alameda Thrifty Pharmacy (El Paso). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-mccrory's-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,McCrory's Pharmacy,McCrory's Pharmacy,6151 Dew Dr Ste 100,El Paso,El Paso,TX,79912,(915) 581-9655,,,Class A (Community Pharmacy),,Independent (RxLocal),McCrory family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,1,,52.2,"Owner ~56 (53-57 band, early succession window)",72.2,Solo pharmacist 10+yr Class A (22yr tenure),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation; RxLocal-only microsite (no independent domain),65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (El Paso),69,C,C-tier: McCrory's Pharmacy (El Paso). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
