legal_name,city,county,state,zip,vertical,naics_code,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,year_established,fleet_size,employee_count_estimate,specialty,fmcsa_dot_number,mc_number,entity_status,is_distressed,distress_reasons,website,phone,score_run_id,layer1_base_rate,layer2_sellability,layer3_behavioral_trigger,layer4_market_pull,final_score,final_tier,confidence,data_completeness,deep_dive_pending
Texas Chrome Transport Inc,Atascosa,Atascosa,TX,78002,specialty_trucking,484220,Family-owned (unverified specific principal),,unverified_no_named_principal,15,15,2011,41,,frac_sand,USDOT 2203204,MC-764505,unknown_not_verified_comptroller,False,,https://teamtct.com/,(210) 622-5757,60142bff-46df-4b25-af71-e986ba07e8b8,30,50,70,75,54,C_watch,low,0.65,False
Palletized Trucking Inc,Houston,Harris,TX,77009,specialty_trucking,484220,"Family-owned (Palletized family, unverified specific principal)",70,career_tenure_proxy_57yr_founding_family,57,57,1969,,,heavy_haul,,,unknown_not_verified_comptroller,False,,https://www.palletizedtrucking.com/,(713) 225-3303,60142bff-46df-4b25-af71-e986ba07e8b8,85,75,80,90,82,A_acquire_self,medium,0.55,True
Basse Truck Line Inc,San Antonio,Bexar,TX,78219,specialty_trucking,484220,Basse family (unverified specific principal),,unverified_likely_3rd_4th_generation,97,97,1929,,,heavy_haul,USDOT 136511,MC-011603,unknown_not_verified_comptroller,False,,https://www.bassetrucklinesanantoniotx.com/,(210) 226-3167,60142bff-46df-4b25-af71-e986ba07e8b8,70,78,75,85,76,B_forward,medium,0.6,False
McLo HotShot Service LLC,Odessa,Ector,TX,79765,specialty_trucking,484220,McLo family (unverified specific principal),,unverified,13,13,2013,,,hot_shot,,,unknown_not_verified_comptroller,False,,https://www.mclohotshot.com/,(432) 888-7625,60142bff-46df-4b25-af71-e986ba07e8b8,25,35,30,78,37,D_pass,low,0.4,False
Hotshot Texas (Joe Burns Trucking),Humble,Harris,TX,,specialty_trucking,484220,Joe Burns,75,founder_named_1974_plus_minimum_23yr_at_founding,52,52,1974,,,hot_shot,,,unknown_not_verified_comptroller,False,,https://hotshottexas.net/,(281) 227-2777,60142bff-46df-4b25-af71-e986ba07e8b8,92,55,80,88,79,B_forward,low,0.55,True
Earth Haulers Inc,Fort Worth,Tarrant,TX,,specialty_trucking,484220,unverified,,unverified_no_named_principal,49,49,1977,,,aggregate,,,unknown_not_verified_comptroller,False,,https://www.earthhaulers.com/,(817) 540-2777,60142bff-46df-4b25-af71-e986ba07e8b8,60,60,55,75,61,B_forward,low,0.4,False
Panhandle Express LLC,Hereford,Deaf Smith,TX,79045,specialty_trucking,484220,unverified,,unverified,19,19,2007,102,,agricultural,USDOT 1592966,MC-589383,unknown_not_verified_comptroller,False,,https://panhandleexpress.com/,(806) 364-2021,60142bff-46df-4b25-af71-e986ba07e8b8,25,20,30,70,32,D_pass,low,0.55,False
Plains Transportation (Plains Livestock Transportation),Amarillo,Potter,TX,79118,specialty_trucking,484220,Gripp family (founder Dick Gripp 1968/incorporated 1973),80,founder_named_dick_gripp_1968_min_25yr_at_founding,53,53,1973,,,refrigerated,,,unknown_not_verified_comptroller,False,,https://www.plainstransportation.com/about/,(806) 372-9290,60142bff-46df-4b25-af71-e986ba07e8b8,90,70,75,80,79,A_acquire_self,medium,0.55,True
Reliant Field Services Inc,Houston,Harris,TX,77057,specialty_trucking,484220,unverified,,unverified,15,15,2011,42,,crude_oil,,,unknown_not_verified_comptroller,False,,https://www.reliantfieldservice.com/,(713) 621-2502,60142bff-46df-4b25-af71-e986ba07e8b8,30,60,35,85,47,C_watch,low,0.5,False
Hondo Resources LLC,Midland,Midland,TX,79706,specialty_trucking,484220,Brayden Woods (CEO),35,founder_named_2023_likely_young_founder,3,3,2023,10,,oil_gas_water_hauling,USDOT 4111063,,unknown_not_verified_comptroller,False,,https://hondotx.com/,(325) 812-1636,60142bff-46df-4b25-af71-e986ba07e8b8,10,25,10,70,23,D_pass,high,0.5,False
Big Star Transportation LLC,Oklahoma City,,OK,73142,specialty_trucking,484220,Link Clifton (founder),65,founder_named_1999_min_38yr_at_founding,27,27,1999,200,,crude_oil,,,oklahoma_not_tx_comptroller_jurisdiction,False,,https://www.bigstartrucking.com/,(877) 782-7340,60142bff-46df-4b25-af71-e986ba07e8b8,70,15,20,60,40,D_pass,high,0.45,False
Tim Ables Trucking,Kilgore,Rusk,TX,75662,specialty_trucking,484220,Tim Ables (founder),70,founder_named_1988_min_30yr_at_founding,38,38,1988,100,,frac_sand,,,unknown_not_verified_comptroller,False,,https://timables.floridawebcompany.com/,(903) 986-2078,60142bff-46df-4b25-af71-e986ba07e8b8,85,20,80,78,44,D_pass,medium,0.5,False
The Glover Company,Ozona,Crockett,TX,76943,specialty_trucking,484220,Mike Glover,,founder_named_no_founding_year,,,,,,heavy_haul,,,unknown_not_verified_comptroller,False,,https://www.theglovercompany.com/,(325) 392-2561,60142bff-46df-4b25-af71-e986ba07e8b8,50,50,65,80,59,C_watch,low,0.35,False
