"License #",Name,Status,Granted,Expires,Rank,"Address 1","Address 2",City,State,Zip
10000100,"Frank Surveying Co Inc",Registered,2007-10-22,2026-12-31,Headquarters,"2205 WALNUT STREET",,COLUMBUS,TX,78934
10000200,"MEDINA VALLEY SURVEYS, INC.",Registered,2007-10-22,2026-12-31,Headquarters,"709 WASHINGTON ST.",,CASTROVILLE,TX,78009
10000800,"OGDEN SURVEYING, LLC",Registered,2007-10-22,2026-12-31,Headquarters,"685 COUNTY ROAD 2050",,WOODVILLE,TX,75979
10001000,"HARRY JEWETT ASSOCIATES",Registered,2007-10-22,2026-12-31,Headquarters,"8000 I.H. 10 WEST, SUITE 633",,"SAN ANTONIO",TX,78230
10001200,"PASO DEL NORTE SURVEYING, INC.",Registered,2007-10-22,2026-12-31,Headquarters,"13998 BRADLEY ROAD",,"EL PASO",TX,79938-9170
10001700,"BEFCO ENGINEERING, INC.",Registered,2007-10-22,2026-12-31,Headquarters,"485 NORTH JEFFERSON STREET",,"LA GRANGE",TX,78945
10001800,"LANDESIGN SERVICES, INC.",Registered,2007-10-22,2026-12-31,Headquarters,"10090 W STATE HIGHWAY 29",,"LIBERTY HILL",TX,78642
10002000,"FOREST SURVEYING AND MAPPING",Registered,2007-10-22,2026-12-31,Headquarters,"1002 SOUTH ASH STREET",,GEORGETOWN,TX,78626
10002400,"FAUST ENGINEERING & SURVEYING",Registered,2007-10-22,2026-12-31,Headquarters,"5550 EASTEX FREEWAY","SUITE O",BEAUMONT,TX,77708
10002700,"Bass & Welsh Engineering",Registered,2007-10-22,2026-12-31,Headquarters,"3054 A Alameda St",,"Corpus Christi",TX,78404
10003600,"S. E. HUEY COMPANY",Registered,2007-10-25,2026-12-31,Headquarters,"1111 NORTH 19TH STREET",,MONROE,LA,71201
10003700,"STEGER & BIZZELL ENGINEERING, INC.",Registered,2007-10-24,2026-12-31,Headquarters,"1978 SOUTH AUSTIN AVENUE",,GEORGETOWN,TX,78626
10004000,"ART SALINAS ENGINEERING & SURVEYING",Registered,2007-10-25,2026-12-31,Headquarters,"1524 DOVE AVENUE",,MCALLEN,TX,78504
10004900,"DI SCIULLO-TERRY, STANTON & ASSOCIATES, INC.",Registered,2007-10-25,2026-12-31,Headquarters,"908 WEST MAIN STREET",,ARLINGTON,TX,76013
10005100,"SURVTECH CORPORATION",Registered,2007-10-25,2026-12-31,Headquarters,"2020 FM 2854",,CONROE,TX,77304
10005300,"AMBIOTEC CIVIL ENGINEERING GROUP, INC.",Registered,2007-10-24,2026-12-31,Headquarters,"5420 PAREDES LINE ROAD",,BROWNSVILLE,TX,78526
10005400,"STEPHEN G. COOK ENGINEERING",Registered,2014-12-09,2026-12-31,Headquarters,"13302 Thornridge Lane",,"San Antonio",TX,78232
10005500,"COX LAND SURVEYING CORPORATION",Registered,2007-10-25,2026-12-31,Headquarters,"108 North Main Street",,COLLINSVILLE,TX,76233
10005800,"KOCH & KOCH LAND SURVEYORS, INC.",Registered,2007-10-25,2026-12-31,Headquarters,"707 FM 1796 P. O. BOX 246",,D&#039;HANIS,TX,78850-0246
10006300,"UNDERWOOD DRAFTING & SURVEYING",Registered,2007-10-25,2026-12-31,Headquarters,"3404 INTERURBAN ROAD",,DENISON,TX,75021
