legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness
AAA ELECTRICAL SIGNS,,DONNA,Hidalgo,78537,2407 E BUSINESS 83,9566827831,https://3asigns.com/,Paul W. Sullivan (CEO + Founder),78,founder_tenure_inference,,57,,,false,[],88,"Paul W. Sullivan founded AAA Electrical Signs in 1970 — 56-yr tenure as CEO. Sole listed owner/principal. Founder-tenure inference puts him in late 70s to early 80s. No family successor named (no other Sullivan); operational managers Joe Herrera (43yr), Mike Hill (32yr) are de facto operators but not credentialed owner-buyers. **Hard hit on natural-exit window.**",72,"57 years; 9-city RGV + South TX + San Antonio service footprint (Pharr, Brownsville, Donna, Corpus Christi, San Antonio, Laredo, Mission, Harlingen, McAllen). Multi-city = real route business + recurring repair/maintenance revenue. Estimated $1.5M-$4M rev — solid SBA band. Long-tenured operational managers (32-43yr Plant Mgr + Sr Designer) = ops continuity for buyer.",85,"**Website copyright 2003 = 23 YEARS STALE — extreme tell.** No online quote, no customer portal, no SMS, no modern tech stack visible. Founder Paul W. Sullivan at 76+ still listed as CEO. Site itself is the strongest coasting tell I've seen across this vertical.",75,RGV/border metro (+2 sub-market nudge per signage vertical config) + multi-city South TX route + low-PE-attention sign vertical. Hidalgo County base with Cameron + Webb service area = bilingual + cross-border B2B growth markets.,81,A_acquire_self,"AAA Electrical Signs (Donna TX, Hidalgo Co., founded 1970 by Paul W. Sullivan) is a 56-year multi-city RGV + South-TX sign shop with extraordinary coasting signals: **website copyright 2003 (23 years stale)**, founder Paul W. Sullivan still listed as CEO at 76+, no family Sullivan named, no modern web/customer infrastructure. Live team-page fetch (3asigns.com/about-us, 2026-05-16) confirms sole-Sullivan principal with long-tenured trade managers (Plant Mgr 32yr, Sr Designer 43yr) who provide ops continuity but cannot credentialed-buy. 9-city service footprint (Pharr/Brownsville/Donna/Corpus Christi/San Antonio/Laredo/Mission/Harlingen/McAllen) = real route revenue. Border-metro (+2) + low-PE-attention vertical = quiet acquire-self target.",Concrete levers: (1) Modern website + online quote intake to replace 23-yr-stale 2003-era site — first-month win; (2) Customer portal for service tickets + photo documentation (RGV retail-chain customers will adopt fast); (3) Formalize multi-city route + maintenance-contract program leveraging existing 9-city footprint; (4) AI dispatch + telematics for the trade-managers running ops; (5) Bilingual digital signage / LED retrofit upsell for Mexican retail expansion in Brownsville/Laredo. Asset-rich (RGV warehouse + service fleet) supports SBA 504 + SBA 7(a) stack. Long-tenured operational managers provide multi-year ops continuity post-close.,medium,0.78
GLOBALSIGNS INC,,FT WORTH,Tarrant,76119,5105 E CALIFORNIA PK,8178341123,https://globalsignsinc.com/,Rick Robertson (Founder),68,founder_tenure_inference,,39,,,false,[],80,"Rick Robertson founded Global Signs in 1987 — 39-yr tenure as sole listed founder. No co-founder, son/daughter, or co-principal named on About page. License-tenure + founder-tenure inference puts him in 60s-70s. Sole-principal aging founder profile.",80,"39 years Fort Worth Tarrant Co.; named national-account customers explicit on About: **Domino's, Honda, Starbucks, AutoZone, Chicken Express**. That's recurring multi-location service revenue with named premium brands. TDLR-licensed journeyman sign electricians on staff. Estimated $1.5M-$4M rev = mid-upper SBA band.",75,Site copyright 2021 (5 yrs stale = coasting tell). About page names ONLY Rick Robertson — no specific staff (which is itself a tell; modern shops list their team). No specific online quote form visible.,78,DFW metro + Fort Worth (Tarrant) + multi-state national-account footprint + low-PE-attention vertical. National-brand customers = scale of service business raises L4.,78,A_acquire_self,"Global Signs (Fort Worth Tarrant Co., founded 1987 by Rick Robertson) is a 39-year shop with **multi-brand national-account base (Domino's, Honda, Starbucks, AutoZone, Chicken Express)** — that's contractual multi-location service revenue. Live team-page fetch (globalsignsinc.com/about-us, 2026-05-16) confirms Rick Robertson is the sole listed principal; no son/daughter/co-principal/GM named. Site copyright 2021 = 5-yr-stale + minimal team transparency = coasting profile. Sole-principal aging founder + premium-brand national-account L2 + DFW corridor = strong A_acquire_self.",(1) Customer portal for the national-account base (Domino's etc.) — service-ticket photo documentation + inspection scheduling is highest-ROI lever; (2) Modernize From 5-yr-stale site to current portfolio CMS; (3) Online quote engine for non-account smaller projects; (4) Formalize maintenance-contract pricing tiers for the existing national-brand customer pipeline; (5) Add LED-retrofit program for the channel-letter installed base. National-account book is the asset — buyer should preserve relationships through the transition.,medium,0.72
NEON ELECTRIC CORPORATION,,HOUSTON,Harris,77039-2902,1122 LAUDER ROAD,2819871144,https://necsigns.net/,Family-owned (multi-generation since 1946),,license_tenure_proxy + founder_era_inference,,80,,,false,[],85,"NEC / Neon Electric Corporation has been family-owned and operated since 1946 — 80-year tenure. Founder generation unknown but family is multi-generation by tenure alone. Per snippets, company is 'family owned and operated' and 'has been involved in manufacturing and servicing of signs for over 54 years'. Live team-page not yet fetched — successor status needs verification.",75,80 years Houston Harris Co.; manufacturing + installation + servicing + architectural metal products. Multi-service mid-large shop. Estimated $1.5M-$5M rev = solid upper SBA band.,70,Snippet-level evidence only (live About-page fetch not yet performed in this run for this row — cap confidence at low until done). Multi-decade tenure + 'family owned' language suggests potential coasting but not verified.,78,Houston Harris Co. + 80-yr local reputation + low-PE-attention sign vertical.,77,B_forward,"Neon Electric Corporation / NEC (Houston Harris Co., founded 1946) is an 80-year family-owned multi-service sign manufacturer + service shop. Family-owned status confirmed via Procore + BBB profiles but live team-page not yet verified for explicit successor candidates. Per skill non-negotiable on successor verification for A-tier candidates: capped at B_forward until live team-page fetch verifies sole-principal vs multi-gen-family structure. Re-fetch on next run, or treat as B-forward to searcher community pending verification.",Pending live team-page verification. If sole-principal: AI dispatch + customer portal + national-account maintenance pitch leveraging 80-yr Houston commercial-corridor reputation. If multi-gen: family handoff candidate.,medium,0.55
ATLAS SIGN SERVICES,,HOUSTON,Harris,77076,6411 AIRLINE DRIVE,7136991121,https://www.atlassigns.com/,"Stan Titlow + Linda Titlow (founders); Stanford Titlow (son, Master Sign Electrician)",,license_tenure_proxy + founder_tenure_inference,,47,,,false,[],55,Stan + Linda Titlow founded Atlas Sign Services in 1979 — 47-yr tenure; both still listed as 'Founders' on About page (no retirement noted). Son Stanford Titlow active as Master Sign Electrician. Founders likely 70+; license-tenure proxy only (no OV65 pulled).,75,Houston Harris-County multi-service shop: CNC channel-letter fabrication + 275-ton CNC press brake + plasma + LED message centers + 10-yr warranty. UL-Listed quality signal. Estimated $1M-$3M rev — solid SBA-band. Mon-Fri 7am-4pm only schedule.,65,"Site copyright 2022 (4 yrs stale); no online quote form, no customer portal, no formal maintenance program language; Mon-Fri only hours (no Sat). 3-4 visible coasting tells. Live team-page fetched 2026-05-16 atlassigns.com/about-us/.",78,Houston Harris County baseline (+3 sub-market nudge for commercial corridor density). Low-PE-attention vertical (sign cos = quiet rollup target = better entry multiples). UL-Listed + CNC mfg = premium quality.,66,B_forward,"Atlas Sign Services (Houston, founded 1979 by Stan & Linda Titlow) is a 47-year UL-Listed family multi-service sign shop with significant CNC capability. **Live team-page fetch (atlassigns.com/about-us 2026-05-16) reveals son Stanford Titlow active as Master Sign Electrician — internal-buy-in candidate.** Site is 4 yrs stale with 3-4 coasting tells; mid SBA-band financials. Demoted from A→B because Stanford Titlow is the natural internal buyer. Hand to ETA/searcher community as a 'structured family handoff' opportunity rather than Gideon-acquire-self.","If outside buyer wants to compete: Online quote engine to replace phone-only intake, customer portal for permit + project tracking, formalize maintenance-contract program for the existing Houston commercial client base (CNC + UL-Listed quality already supports it). Existing CNC + 275-ton press brake is asset-rich for SBA 504 financing.",high,0.75
SIGNS MANUFACTURING AND MAINTENANCE CORP,,DALLAS,Dallas,75236-2016,4610 MINT WAY,2143392227,https://signsmanufacturing.com/,"Watson Family (multi-generation, multi-Master)",,founder_tenure_inference,,47,,,false,[],60,"Signs Manufacturing founded 1979 by Watson Family — 47-yr tenure. Multi-generation family operation: 'most male family members are licensed electricians (two are Masters)' per their history page, with 25+ yr individual tenure. Family is multi-generation; succession in place internally.",80,Watson Family multi-Master-Electrician + 5-building Dallas fabrication facility + automated channel-letter pioneer + Master Sign Electrician + Master Electrician dual licensure. Largest custom sign mfg in DFW Metroplex per their materials. Estimated $3M-$8M rev — upper SBA band approaching enterprise.,50,Site (signsmanufacturing.com) reachable; family-history page detailed and active. Modest coasting tells — site looks pre-2020s. Limited; family is actively engaged. Successor candidate explicitly present (multi-gen Watson family).,78,DFW + family-pioneer reputation + automated CNC pioneer status — high-quality shop; LOW-PE-attention vertical premium; but already-rolling internal succession reduces external-buyer urgency.,65,B_forward,"Signs Manufacturing Corp (Dallas, founded 1979 by the Watson Family) is a 47-yr DFW industry leader with multi-generation Master Electrician / Master Sign Electrician family successors actively operating the business. Per their own history page, 'most male family members are licensed electricians (two are Masters)' with 25+ yrs each. **This is a structured internal-buyout target, not coasting-solo-to-outside.** Demote to B_forward; hand to searcher community as a 'next-generation family handoff' opportunity if family elects external sale.","If outside buyer somehow wins: Modernize digital tooling (BuildOps / ServiceTrade for service routes), customer portal for project + maintenance tracking, leverage their CNC pioneer reputation for premium-positioning marketing. Upper-SBA-band; SBA 504 viable for 5-building real-estate-heavy footprint.",high,0.8
HANCOCK SIGN COMPANY,,IRVING,Dallas,75061,810 W PIONEER DR,8176406441,http://hancocksign.com/,,,license_tenure_proxy,,23,,,false,[],65,Hancock Sign Company near I-30/Hwy 360 (Irving) — TDLR license # suggests 23+ yr operation; owner unknown from public sources. License-tenure proxy weak. About page TLS cert invalid (could not fetch securely).,60,"Full-service: design + manufacture + install + service of electric signs (channel letters, cabinets, monument, cast stone, pole signs, LED EMCs). North-Central TX service area. Estimated $900K-$2M rev — mid SBA band.",55,HTTP-only site (no HTTPS) = strong coasting tell (pre-2015 tech); TLS cert invalid on About page = unable to verify team. Multiple snippet-level tells of dated site present.,75,Dallas metro (Irving sub-market) — low-PE-attention vertical baseline.,62,C_watch,"Hancock Sign Company (Irving DFW) operates with an HTTP-only website (no HTTPS), and its About page returned a TLS certificate error on fetch. Per skill team-page-unreachable protocol, confidence is capped at low and tier at C_watch. The HTTP-only website is itself a strong pre-2015 coasting tell — promising but cannot promote without verified team composition. Re-score after manual outreach or Wayback fetch.","If verifiable: SSL/HTTPS migration + modern site rebuild, online quote intake, customer service-ticket portal, formalize the service-line of cabinet repair into a monthly maintenance contract pitch.",low,0.4
WILLOW CREEK SIGNS INC,,HASLET,Tarrant,76052,2633 BLUE MOUND ROAD WEST,8178470571,https://www.willowcreeksigns.com/,Parsons Family (K. Parsons + Josh Parsons),,license_tenure_proxy,,31,,,false,[],50,Willow Creek Signs founded 1995 — 31-yr tenure. Site lists K. Parsons + Josh Parsons; multi-Parsons pattern strongly suggests family ownership with internal succession (not verified by explicit language but signal is clear).,82,"30k sqft Haslet mfg facility; 'retail sign programs, bank re-brands, custom projects, service + installation NATIONWIDE'; **150 years combined sign experience** team. National-account recurring revenue language is explicit and strong. Estimated $3M-$7M rev = upper SBA band.",50,Site copyright 2026 (current); team named with extensions (modern contact patterns); national-account language modern. Coasting tells minimal.,80,DFW corridor (Haslet) + national-account base + low-PE-attention vertical + high L2 (national-account recurring).,62,B_forward,"Willow Creek Signs (Haslet TX DFW, founded 1995) is a 31-yr 30k-sqft national-program sign company — **retail sign programs, bank re-brands, multi-location maintenance** with 150 years combined sign experience. Live team-page fetch (willowcreeksigns.com/about, 2026-05-16) names Josh Parsons + K. Parsons + David Flory — multi-Parsons family pattern strongly suggests internal succession. Current modern website. Demote A→B due to likely-family-successor pattern; route to searcher community as a 'mature national-account program' opportunity.",If outside buyer wins: Leverage existing national-account base (retail rebrand + bank rebrand programs are sticky multi-year contracts) and add LED-retrofit-as-a-service to existing customer footprint. Strong asset base + national recurring contracts = SBA 7(a) jumbo viable.,medium,0.72
AETNA SIGN GROUP,,SAN ANTONIO,Bexar,78217-4423,2438 FREEDOM DR,2108262800,https://www.aetnasign.com/,Aetna Family (4th generation),,founder_tenure_inference,,97,,,false,[],45,"Aetna Sign Group founded 1929 by Aetna family in San Antonio. Site explicitly states '4th generation, family-owned company' — current operators are 4th-gen. Founder generation deceased; current owner-of-record likely 50s-60s 4th-gen.",80,97 years San Antonio Bexar; statewide TX service (SA + Austin + Dallas + Houston + RGV + Laredo); design + installation + maintenance + LED + directional. Estimated $3M-$8M rev = upper SBA band. Cross-state TX coverage = real route business.,50,Modern site; 4-gen family operating = anti-coasting signal; not a 'coasting solo' profile. Few visible coasting tells.,80,Multi-metro TX statewide + 97-yr brand reputation + low-PE-attention sign vertical premium.,60,B_forward,"Aetna Sign Group (San Antonio, founded 1929) is a 97-year, **4th-generation family-owned** sign company servicing all major TX metros statewide. Multi-generation succession is explicit on the website. **This is a structured internal-family operation, not a coasting-solo-to-outside profile.** Demote to B_forward; route to searcher community as a 'rare 4-generation family handoff' opportunity if/when the 4th gen elects to sell to outside vs preserve internally.","If outside buyer wins: preserve the 97-yr brand (its primary moat), modernize digital tooling (BuildOps / ServiceTrade), add LED-retrofit-as-a-service program leveraging statewide TX coverage, customer portal for the existing statewide customer base.",high,0.78
"BARNETT SIGNS, INC",,MESQUITE,Dallas,75150,4250 ACTION DRIVE,9726818800,https://barnettsigns.com/,Barnett Family (4 generations: Nolan + Barry + 3rd + 4th gen),,founder_tenure_inference,,55,,,false,[],45,Barnett Signs founded 1971 by Nolan R. Barnett; son Barry Barnett joined within months; site explicitly says '4 Generations Strong' + '150+ Years of Sign Experience'. Multi-generation family succession structured. Nolan likely 80+; Barry likely 70+; 3rd + 4th gen actively in business.,80,55 years; Mesquite multi-location-project capable; estimated $2M-$5M rev = upper-mid SBA band. 'Multi-generational family-run' + 'multi-location projects' = healthy service base.,45,"Site copyright 2026 (current, modern). 4-gen succession = anti-coasting signal. Few visible coasting tells; team page exists.",78,DFW metro + Mesquite (DFW exurban) + low-PE-attention sign vertical baseline.,59,B_forward,"Barnett Signs (Mesquite DFW, founded 1971 by Nolan R. Barnett) is a 55-yr multi-generation family operation with **'4 Generations Strong'** explicit on website — current operations almost certainly involve 3rd-gen + 4th-gen Barnetts. **This is a textbook internal-buy-in candidate, not a coasting-solo-to-outside profile.** Demote to B_forward; route to searcher community as 'mature multi-gen handoff opportunity' if/when family elects sale.","Asset-rich (multi-location Mesquite facility), recurring multi-location project base, family-trained successor in place — buyer's path is preserving brand + adding ops tech (BuildOps / ServiceTrade), not transformation.",high,0.8
CASTEEL & ASSOCIATES INC,,DALLAS,Dallas,75229-5607,11106 MORRISON,2143527446,https://www.casteelsign.com/,Warren T. Casteel,,license_tenure_proxy,,39,,,false,[],60,"Casteel & Associates founded 1987 in Houston, now Dallas-based; sole-owner Warren T. Casteel (39 yrs as founder; likely 60s-70s). License-tenure proxy only; OV65 not pulled this run. Owner-age estimate medium confidence.",60,Architectural + ADA + electronic signage (Daktronics dealer). Commercial + public sector mix. Estimated $1.5M-$4M rev — mid SBA-band. Healthy specialty (architectural metal letters + ADA + LED EMCs); no recurring contract language confirmed.,50,"Site copyright 2026 (current); About page URL 404'd (could not verify team composition or successor candidates). Per skill rules, team-page-unreachable caps confidence at low; this layer reflects uncertain coasting status with some positive signals (Daktronics LED partnership).",70,Dallas metro + architectural-signage specialty + commercial/public-sector clientele. Low-PE-attention vertical baseline = +3 nudge.,58,C_watch,"Casteel & Associates (Dallas, founded 1987 by Warren T. Casteel) is a 39-yr architectural / ADA / commercial sign shop with Daktronics LED dealer status. About page returned 404 on direct fetch; cannot verify successor candidates or team composition. Per skill protocol team-page-unreachable caps tier at C_watch. Re-score in 90 days when site is reachable or after Comptroller/CAD lookup confirms owner age + property ownership.","If verifiable as sole-principal: AI quote engine for architectural signage estimates, online job-portfolio CMS to refresh stale About content, customer portal for service tickets and inspection reports — Daktronics partnership is leverageable for LED retrofit upsell program.",low,0.45
